Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    0.003    0.002 __init__.py:6(<module>)
        1    0.003    0.003    0.003    0.003 transforms.py:30(<module>)
        2    0.003    0.001    0.003    0.002 function_base.py:1(<module>)
        1    0.002    0.002    0.003    0.003 httplib.py:67(<module>)
        1    0.003    0.003    0.003    0.003 case.py:1(<module>)
      172    0.000    0.000    0.003    0.000 cbook.py:1078(dedent)
      859    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
        1    0.003    0.003    0.003    0.003 afm.py:34(<module>)
      164    0.000    0.000    0.003    0.000 docstring.py:86(dedent)
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
        1    0.003    0.003    0.003    0.003 _ode.py:39(<module>)
        1    0.001    0.001    0.003    0.003 sysconfig.py:10(<module>)
       88    0.000    0.000    0.003    0.000 docstring.py:103(dedent_interpd)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
        1    0.002    0.002    0.003    0.003 result.py:1(<module>)
        1    0.001    0.001    0.003    0.003 mlab.py:142(<module>)
     1270    0.002    0.000    0.003    0.000 arrayprint.py:632(_digits)
        1    0.001    0.001    0.003    0.003 arrayprint.py:5(<module>)
        1    0.002    0.002    0.003    0.003 collections.py:1(<module>)
  844/319    0.002    0.000    0.003    0.000 sre_parse.py:149(getwidth)
    12510    0.003    0.000    0.003    0.000 {min}
      198    0.001    0.000    0.003    0.000 utils.py:113(deprecate)
        1    0.002    0.002    0.003    0.003 subprocess.py:387(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:870(rc_params)
        7    0.000    0.000    0.003    0.000 pyparsing.py:1695(__init__)
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:7(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:19(<module>)
        8    0.000    0.000    0.002    0.000 decorator.py:189(decorator)
     2396    0.002    0.000    0.002    0.000 sre_parse.py:139(__getitem__)
        1    0.001    0.001    0.002    0.002 pyplot.py:2057(_setup_pyplot_info_docstrings)
     1164    0.001    0.000    0.002    0.000 fromnumeric.py:53(take)
        8    0.000    0.000    0.002    0.000 _datasource.py:248(_possible_names)
       12    0.000    0.000    0.002    0.000 _datasource.py:218(_iszip)
       20    0.000    0.000    0.002    0.000 _datasource.py:93(keys)
    13887    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
       24    0.002    0.000    0.002    0.000 _datasource.py:78(_load)
      512    0.001    0.000    0.002    0.000 shape_base.py:8(atleast_1d)
        8    0.000    0.000    0.002    0.000 decorator.py:167(create)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3471(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3442(_makeTags)
        3    0.000    0.000    0.002    0.001 __init__.py:554(_get_config_or_cache_dir)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
      406    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        7    0.002    0.000    0.002    0.000 {method 'close' of 'file' objects}
        1    0.002    0.002    0.002    0.002 base.py:1(<module>)
      144    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       99    0.000    0.000    0.002    0.000 _distn_infrastructure.py:607(__init__)
      641    0.002    0.000    0.002    0.000 {numpy.core.multiarray.result_type}
        3    0.000    0.000    0.002    0.001 __init__.py:210(_is_writable_dir)
        1    0.002    0.002    0.002    0.002 rrule.py:6(<module>)
     1354    0.002    0.000    0.002    0.000 {abs}
       40    0.002    0.000    0.002    0.000 {dir}
        1    0.001    0.001    0.002    0.002 main.py:1(<module>)
        2    0.002    0.001    0.002    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.002    0.002 axes.py:331(Axes)
      508    0.001    0.000    0.002    0.000 stats.py:3467(_count)
     1400    0.002    0.000    0.002    0.000 numeric.py:2809(__init__)
       59    0.002    0.000    0.002    0.000 sre_compile.py:258(_mk_bitmap)
        7    0.000    0.000    0.002    0.000 nonlin.py:1488(_nonlin_wrapper)
        6    0.000    0.000    0.002    0.000 <string>:1(non_reentrant)
        6    0.002    0.000    0.002    0.000 {open}
      282    0.001    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
        1    0.002    0.002    0.002    0.002 mathtext.py:19(<module>)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:70(__init__)
      198    0.001    0.000    0.002    0.000 utils.py:69(__call__)
     2801    0.002    0.000    0.002    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
     9093    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.002    0.002    0.002    0.002 tz.py:6(<module>)
     3048    0.001    0.000    0.002    0.000 numerictypes.py:949(_can_coerce_all)
     1411    0.002    0.000    0.002    0.000 {hasattr}
        1    0.001    0.001    0.002    0.002 optimize.py:17(<module>)
      381    0.001    0.000    0.002    0.000 numeric.py:773(flatnonzero)
      381    0.001    0.000    0.002    0.000 numeric.py:1910(isscalar)
        2    0.000    0.000    0.002    0.001 pyparsing.py:3359(srange)
     4671    0.002    0.000    0.002    0.000 {getattr}
      397    0.001    0.000    0.002    0.000 function_base.py:1644(__init__)
      201    0.000    0.000    0.002    0.000 fromnumeric.py:1283(ravel)
        1    0.001    0.001    0.002    0.002 dis.py:1(<module>)
        1    0.001    0.001    0.001    0.001 mimetools.py:1(<module>)
        1    0.001    0.001    0.001    0.001 backend_agg.py:21(<module>)
        2    0.001    0.001    0.001    0.001 _version.py:7(<module>)
        2    0.000    0.000    0.001    0.001 random.py:91(__init__)
        2    0.000    0.000    0.001    0.001 random.py:100(seed)
     1164    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.001    0.001 pyparsing.py:1084(parseString)
      142    0.000    0.000    0.001    0.000 cm.py:61(_generate_cmap)
       17    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      513    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 ssl.py:88(<module>)
       65    0.000    0.000    0.001    0.000 pyparsing.py:830(copy)
        1    0.000    0.000    0.001    0.001 __init__.py:702(matplotlib_fname)
        1    0.001    0.001    0.001    0.001 __init__.py:101(<module>)
     1524    0.001    0.000    0.001    0.000 index_tricks.py:231(_retval)
